Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:26:29.984930,22:26:30.486838,-1,-1.0
1,22:26:29.984930,22:26:31.473739,-1,-1.0
1,22:26:29.984930,22:26:32.929091,1,-1.0
1,22:26:29.984930,22:26:33.167819,1,-1.0
1,22:26:29.984930,22:26:33.365667,1,-1.0
1,22:26:29.984930,22:26:33.606303,1,-1.0
1,22:26:29.984930,22:26:33.803429,1,-1.0
1,22:26:29.984930,22:26:33.972176,1,-1.0
1,22:26:29.984930,22:26:34.158953,1,-1.0
1,22:26:29.984930,22:26:34.326224,1,-1.0
1,22:26:29.984930,22:26:34.493079,1,-1.0
1,22:26:29.984930,22:26:34.680512,1,-1.0
1,22:26:29.984930,22:26:34.868226,1,-1.0
1,22:26:29.984930,22:26:35.055796,1,-1.0
1,22:26:29.984930,22:26:35.232741,1,-1.0
1,22:26:29.984930,22:26:35.388684,1,-1.0
1,22:26:29.984930,22:26:35.555129,1,-1.0
1,22:26:29.984930,22:26:35.713427,1,-1.0
1,22:26:29.984930,22:26:35.869744,1,-1.0
1,22:26:29.984930,22:26:36.005460,1,-1.0
1,22:26:29.984930,22:26:36.152255,1,-1.0
1,22:26:29.984930,22:26:36.289386,1,-1.0
1,22:26:29.984930,22:26:36.457028,1,-1.0
1,22:26:29.984930,22:26:36.613493,1,-1.0
1,22:26:29.984930,22:26:36.749221,1,-1.0
1,22:26:29.984930,22:26:36.898172,1,-1.0
1,22:26:29.984930,22:26:37.077613,1,-1.0
1,22:26:29.984930,22:26:37.224561,1,-1.0
1,22:26:29.984930,22:26:37.380747,1,-1.0
1,22:26:29.984930,22:26:37.540606,1,-1.0
1,22:26:29.984930,22:26:37.679981,1,-1.0
1,22:26:29.984930,22:26:37.827604,1,-1.0
1,22:26:29.984930,22:26:37.986332,1,-1.0
1,22:26:29.984930,22:26:38.141311,1,-1.0
1,22:26:29.984930,22:26:38.312415,1,-1.0
1,22:26:29.984930,22:26:38.459808,1,-1.0
1,22:26:29.984930,22:26:38.606727,1,-1.0
1,22:26:29.984930,22:26:38.763784,1,-1.0
1,22:26:29.984930,22:26:38.913648,1,-1.0
1,22:26:29.984930,22:26:39.060157,1,-1.0
1,22:26:29.984930,22:26:39.183078,1,-1.0
1,22:26:29.984930,22:26:39.452977,-1,-1.0
1,22:26:29.984930,22:26:39.979020,-1,-1.0
1,22:26:29.984930,22:26:40.323481,-1,-1.0
1,22:26:29.984930,22:26:40.637069,-1,-1.0
1,22:26:29.984930,22:26:40.927562,-1,-1.0
1,22:26:29.984930,22:26:41.178348,-1,-1.0
1,22:26:29.984930,22:26:41.329648,-1,-1.0
1,22:26:29.984930,22:26:41.506330,-1,-1.0
1,22:26:29.984930,22:26:41.652479,-1,-1.0
1,22:26:29.984930,22:26:41.798810,-1,-1.0
1,22:26:29.984930,22:26:41.985528,-1,-1.0
1,22:26:29.984930,22:26:42.162203,-1,-1.0
1,22:26:29.984930,22:26:42.360436,-1,-1.0
1,22:26:29.984930,22:26:42.783196,1,-1.0
1,22:26:29.984930,22:26:42.990826,1,-1.0
1,22:26:29.984930,22:26:43.146921,1,-1.0
1,22:26:29.984930,22:26:43.294486,1,-1.0
1,22:26:29.984930,22:26:43.430161,1,-1.0
1,22:26:29.984930,22:26:43.617627,1,-1.0
1,22:26:29.984930,22:26:43.764710,1,-1.0
1,22:26:29.984930,22:26:43.931136,1,-1.0
1,22:26:29.984930,22:26:44.087263,1,-1.0
1,22:26:29.984930,22:26:44.264438,1,-1.0
1,22:26:29.984930,22:26:44.442010,1,-1.0
1,22:26:29.984930,22:26:44.618920,1,-1.0
1,22:26:29.984930,22:26:44.816810,1,-1.0
1,22:26:29.984930,22:26:44.942113,1,-1.0
1,22:26:29.984930,22:26:45.108585,1,-1.0
1,22:26:29.984930,22:26:45.277409,1,-1.0
1,22:26:29.984930,22:26:45.453384,1,-1.0
1,22:26:29.984930,22:26:45.620493,1,-1.0
1,22:26:29.984930,22:26:45.766851,1,-1.0
1,22:26:29.984930,22:26:45.923087,1,-1.0
1,22:26:29.984930,22:26:46.086537,1,-1.0
1,22:26:29.984930,22:26:46.252919,1,-1.0
1,22:26:29.984930,22:26:46.419929,1,-1.0
1,22:26:29.984930,22:26:46.575991,1,-1.0
1,22:26:29.984930,22:26:46.733470,1,-1.0
1,22:26:29.984930,22:26:46.889797,1,-1.0
1,22:26:29.984930,22:26:47.049253,1,-1.0
1,22:26:29.984930,22:26:47.217077,1,-1.0
1,22:26:29.984930,22:26:47.383949,1,-1.0
1,22:26:29.984930,22:26:47.542653,1,-1.0
1,22:26:29.984930,22:26:47.711963,1,-1.0
1,22:26:29.984930,22:26:47.899663,1,-1.0
1,22:26:29.984930,22:26:48.108988,1,-1.0
1,22:26:29.984930,22:26:48.327325,1,-1.0
1,22:26:29.984930,22:26:48.588323,1,-1.0
1,22:26:29.984930,22:26:48.744477,1,-1.0
1,22:26:29.984930,22:26:48.900645,1,-1.0
1,22:26:29.984930,22:26:49.090213,1,-1.0
1,22:26:29.984930,22:26:49.257302,-1,-1.0
1,22:26:29.984930,22:26:49.925623,-1,-1.0
1,22:26:29.984930,22:26:50.119253,-1,-1.0
1,22:26:29.984930,22:26:50.307941,-1,-1.0
1,22:26:29.984930,22:26:50.566633,-1,-1.0
1,22:26:29.984930,22:26:50.785920,-1,-1.0
1,22:26:29.984930,22:26:51.096649,1,-1.0
1,22:26:29.984930,22:26:51.273401,1,-1.0
1,22:26:29.984930,22:26:51.440926,1,-1.0
1,22:26:29.984930,22:26:51.608350,1,-1.0
1,22:26:29.984930,22:26:51.768883,1,-1.0
1,22:26:29.984930,22:26:51.935200,1,-1.0
1,22:26:29.984930,22:26:52.091881,1,-1.0
1,22:26:29.984930,22:26:52.251161,1,-1.0
1,22:26:29.984930,22:26:52.428071,1,-1.0
1,22:26:29.984930,22:26:52.608097,1,-1.0
1,22:26:29.984930,22:26:52.776997,1,-1.0
1,22:26:29.984930,22:26:52.943396,1,-1.0
1,22:26:29.984930,22:26:53.132369,1,-1.0
1,22:26:29.984930,22:26:53.319441,1,-1.0
1,22:26:29.984930,22:26:53.486799,1,-1.0
1,22:26:29.984930,22:26:53.664282,1,-1.0
1,22:26:29.984930,22:26:53.833663,1,-1.0
1,22:26:29.984930,22:26:54.012737,1,-1.0
1,22:26:29.984930,22:26:54.168744,1,-1.0
1,22:26:29.984930,22:26:54.365748,1,-1.0
1,22:26:29.984930,22:26:54.543068,1,-1.0
1,22:26:29.984930,22:26:54.709744,1,-1.0
1,22:26:29.984930,22:26:54.875770,1,-1.0
1,22:26:29.984930,22:26:55.052467,1,-1.0
1,22:26:29.984930,22:26:55.229525,1,-1.0
1,22:26:29.984930,22:26:55.416711,1,-1.0
1,22:26:29.984930,22:26:55.593676,1,-1.0
1,22:26:29.984930,22:26:55.770420,1,-1.0
1,22:26:29.984930,22:26:55.967981,1,-1.0
1,22:26:29.984930,22:26:56.196044,1,-1.0
1,22:26:29.984930,22:26:56.373173,1,-1.0
1,22:26:29.984930,22:26:56.551460,1,-1.0
1,22:26:29.984930,22:26:56.717818,1,-1.0
1,22:26:29.984930,22:26:56.895763,1,-1.0
1,22:26:29.984930,22:26:57.082697,1,-1.0
1,22:26:29.984930,22:26:57.270120,1,-1.0
1,22:26:29.984930,22:26:57.446957,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:27:04.476677,22:27:17.939829,-1,-1.0
2,22:27:04.476677,22:27:18.106626,-1,-1.0
2,22:27:04.476677,22:27:18.252933,-1,-1.0
2,22:27:04.476677,22:27:18.409217,-1,-1.0
2,22:27:04.476677,22:27:18.555403,-1,-1.0
2,22:27:04.476677,22:27:19.599600,1,-1.0
2,22:27:04.476677,22:27:19.939587,1,-1.0
2,22:27:04.476677,22:27:20.054409,1,-1.0
2,22:27:04.476677,22:27:20.182300,1,-1.0
2,22:27:04.476677,22:27:20.328314,1,-1.0
2,22:27:04.476677,22:27:20.475585,1,-1.0
2,22:27:04.476677,22:27:20.610511,1,-1.0
2,22:27:04.476677,22:27:20.756990,1,-1.0
2,22:27:04.476677,22:27:20.882515,1,-1.0
2,22:27:04.476677,22:27:21.018692,1,-1.0
2,22:27:04.476677,22:27:21.146997,1,-1.0
2,22:27:04.476677,22:27:21.439628,1,-1.0
2,22:27:04.476677,22:27:21.589552,1,-1.0
2,22:27:04.476677,22:27:21.745657,1,-1.0
2,22:27:04.476677,22:27:21.892108,1,-1.0
2,22:27:04.476677,22:27:22.050236,1,-1.0
2,22:27:04.476677,22:27:22.206933,1,-1.0
2,22:27:04.476677,22:27:22.416528,1,-1.0
2,22:27:04.476677,22:27:22.644479,1,-1.0
2,22:27:04.476677,22:27:22.841663,1,-1.0
2,22:27:04.476677,22:27:23.092388,1,-1.0
2,22:27:04.476677,22:27:23.533435,1,-1.0
2,22:27:04.476677,22:27:23.731944,-1,-1.0
2,22:27:04.476677,22:27:23.980121,-1,-1.0
2,22:27:04.476677,22:27:24.105758,1,-1.0
2,22:27:04.476677,22:27:24.323474,1,-1.0
2,22:27:04.476677,22:27:24.471760,1,-1.0
2,22:27:04.476677,22:27:24.629797,1,-1.0
2,22:27:04.476677,22:27:24.786295,1,-1.0
2,22:27:04.476677,22:27:24.923049,1,-1.0
2,22:27:04.476677,22:27:25.069447,1,-1.0
2,22:27:04.476677,22:27:25.205068,1,-1.0
2,22:27:04.476677,22:27:25.361510,1,-1.0
2,22:27:04.476677,22:27:25.507563,1,-1.0
2,22:27:04.476677,22:27:25.664218,1,-1.0
2,22:27:04.476677,22:27:25.821518,1,-1.0
2,22:27:04.476677,22:27:25.987761,1,-1.0
2,22:27:04.476677,22:27:26.165080,1,-1.0
2,22:27:04.476677,22:27:26.341772,1,-1.0
2,22:27:04.476677,22:27:26.509629,1,-1.0
2,22:27:04.476677,22:27:26.677615,1,-1.0
2,22:27:04.476677,22:27:26.835170,1,-1.0
2,22:27:04.476677,22:27:27.001410,1,-1.0
2,22:27:04.476677,22:27:27.168024,1,-1.0
2,22:27:04.476677,22:27:27.327034,1,-1.0
2,22:27:04.476677,22:27:27.493624,1,-1.0
2,22:27:04.476677,22:27:27.680151,1,-1.0
2,22:27:04.476677,22:27:27.859898,1,-1.0
2,22:27:04.476677,22:27:28.018233,1,-1.0
2,22:27:04.476677,22:27:28.217826,1,-1.0
2,22:27:04.476677,22:27:28.415280,1,-1.0
2,22:27:04.476677,22:27:28.593422,1,-1.0
2,22:27:04.476677,22:27:28.762197,1,-1.0
2,22:27:04.476677,22:27:28.928966,1,-1.0
2,22:27:04.476677,22:27:29.380065,1,-1.0
2,22:27:04.476677,22:27:29.536630,1,-1.0
2,22:27:04.476677,22:27:29.705180,1,-1.0
2,22:27:04.476677,22:27:29.881905,1,-1.0
2,22:27:04.476677,22:27:30.049050,1,-1.0
2,22:27:04.476677,22:27:30.256504,1,-1.0
